,episode,round,state,action,reward,done,model,environment
169,51,0,0,1.0,,,Q_learning,ABC
170,51,1,0,1.0,-1.0,False,Q_learning,ABC
171,51,2,1,1.0,-1.0,False,Q_learning,ABC
172,51,3,2,,10.0,True,Q_learning,ABC
173,52,0,0,1.0,,,Q_learning,ABC
174,52,1,0,1.0,-1.0,False,Q_learning,ABC
175,52,2,1,1.0,-1.0,False,Q_learning,ABC
176,52,3,2,,10.0,True,Q_learning,ABC
177,53,0,0,1.0,,,Q_learning,ABC
178,53,1,1,1.0,-1.0,False,Q_learning,ABC
179,53,2,2,,10.0,True,Q_learning,ABC
180,54,0,0,1.0,,,Q_learning,ABC
181,54,1,1,1.0,-1.0,False,Q_learning,ABC
182,54,2,2,,10.0,True,Q_learning,ABC
183,55,0,0,1.0,,,Q_learning,ABC
184,55,1,1,1.0,-1.0,False,Q_learning,ABC
185,55,2,2,,10.0,True,Q_learning,ABC
186,56,0,0,1.0,,,Q_learning,ABC
187,56,1,1,1.0,-1.0,False,Q_learning,ABC
188,56,2,2,,10.0,True,Q_learning,ABC
189,57,0,0,1.0,,,Q_learning,ABC
190,57,1,1,1.0,-1.0,False,Q_learning,ABC
191,57,2,2,,10.0,True,Q_learning,ABC
192,58,0,0,1.0,,,Q_learning,ABC
193,58,1,1,1.0,-1.0,False,Q_learning,ABC
194,58,2,2,,10.0,True,Q_learning,ABC
195,59,0,0,1.0,,,Q_learning,ABC
196,59,1,1,1.0,-1.0,False,Q_learning,ABC
197,59,2,2,,10.0,True,Q_learning,ABC
198,60,0,0,1.0,,,Q_learning,ABC
199,60,1,1,1.0,-1.0,False,Q_learning,ABC
200,60,2,2,,10.0,True,Q_learning,ABC
201,61,0,0,1.0,,,Q_learning,ABC
202,61,1,1,1.0,-1.0,False,Q_learning,ABC
203,61,2,2,,10.0,True,Q_learning,ABC
204,62,0,0,1.0,,,Q_learning,ABC
205,62,1,1,1.0,-1.0,False,Q_learning,ABC
206,62,2,2,,10.0,True,Q_learning,ABC
207,63,0,0,1.0,,,Q_learning,ABC
208,63,1,1,1.0,-1.0,False,Q_learning,ABC
209,63,2,2,,10.0,True,Q_learning,ABC
210,64,0,0,1.0,,,Q_learning,ABC
211,64,1,1,1.0,-1.0,False,Q_learning,ABC
212,64,2,2,,10.0,True,Q_learning,ABC
213,65,0,0,1.0,,,Q_learning,ABC
214,65,1,1,1.0,-1.0,False,Q_learning,ABC
215,65,2,2,,10.0,True,Q_learning,ABC
216,66,0,0,1.0,,,Q_learning,ABC
217,66,1,1,1.0,-1.0,False,Q_learning,ABC
218,66,2,2,,10.0,True,Q_learning,ABC
219,67,0,0,1.0,,,Q_learning,ABC
